AccidentType,Date,Time,Reason
perturbation,2019/8/17,16:08:32,Technique reason
perturbation,2019/8/17,6:14:35,Track construction
perturbation,2019/8/16,5:37:33,Track construction
perturbation,2019/8/12,18:19:44,Techique reason
perturbation,2019/8/12,16:01:32,Passenger reason
perturbation,2019/8/9,18:58:47,there is no reason
perturbation,2019/8/9,17:47:40,Passenger reason
perturbation,2019/8/7,18:44:52,Passenger reason
perturbation,2019/8/7,18:24:36,Passenger reason
perturbation,2019/8/3,9:27:33,Technique reason
perturbation,2019/8/1,6:59:31,Passenger reason
perturbation,2019/7/31,16:22:37,Techique reason
perturbation,2019/7/31,7:53:38,Passenger reason
perturbation,2019/7/31,7:51:41,Passenger reason
perturbation,2019/7/31,5:29:58,Track construction
perturbation,2019/7/30,10:34:32,Techique reason
perturbation,2019/7/30,10:18:34,Techique reason
perturbation,2019/7/26,15:34:35,Passenger reason
perturbation,2019/7/25,17:28:54,Security reason
perturbation,2019/7/24,18:43:36,there is no reason
perturbation,2019/7/24,18:42:34,there is no reason
perturbation,2019/7/23,7:15:53,Track construction
perturbation,2019/7/17,14:33:32,Techique reason
perturbation,2019/7/17,13:47:34,Techique reason
perturbation,2019/7/16,9:51:35,Passenger reason
perturbation,2019/7/16,9:39:33,Passenger reason
perturbation,2019/7/16,9:20:32,Passenger reason
perturbation,2019/7/15,19:50:32,Passenger reason
perturbation,2019/7/12,20:48:33,Techique reason
perturbation,2019/7/12,16:52:30,Techique reason
perturbation,2019/7/11,20:46:32,Techique reason
perturbation,2019/7/11,6:14:33,Techique reason
perturbation,2019/7/11,6:09:33,Techique reason
perturbation,2019/7/9,7:42:53,Technique reason
perturbation,2019/7/8,16:13:38,Techique reason
perturbation,2019/7/5,18:48:49,Passenger reason
perturbation,2019/7/5,17:31:50,Passenger reason
perturbation,2019/7/5,11:03:36,Passenger reason
perturbation,2019/7/5,9:26:30,Passenger reason
perturbation,2019/7/5,8:49:38,Passenger reason
perturbation,2019/7/1,8:26:46,Techique reason
perturbation,2019/6/28,19:17:38,Passenger reason
perturbation,2019/6/28,18:29:10,Passenger reason
perturbation,2019/6/28,17:13:46,Techique reason
perturbation,2019/6/27,20:18:31,Techique reason
perturbation,2019/6/27,8:52:49,Techique reason
perturbation,2019/6/26,18:21:50,Techique reason
perturbation,2019/6/25,19:01:33,Passenger reason
perturbation,2019/6/20,18:19:50,Techique reason
perturbation,2019/6/20,17:26:38,Techique reason
perturbation,2019/6/20,15:30:40,Techique reason
perturbation,2019/6/18,10:33:34,Passenger reason
perturbation,2019/6/17,7:34:50,Technique reason
perturbation,2019/6/14,9:03:45,Technique reason
perturbation,2019/6/14,8:49:46,Technique reason
perturbation,2019/6/13,11:21:38,Techique reason
perturbation,2019/6/13,10:35:38,Techique reason
perturbation,2019/6/13,10:05:14,Techique reason
perturbation,2019/6/12,7:18:43,Techique reason
perturbation,2019/6/12,6:53:36,Techique reason
perturbation,2019/6/9,13:36:33,Passenger reason
perturbation,2019/6/9,12:22:35,Passenger reason
perturbation,2019/6/6,7:30:33,Technique reason
perturbation,2019/6/5,9:55:36,Techique reason
perturbation,2019/6/3,8:48:47,Passenger reason
perturbation,2019/6/2,18:47:32,Technique reason
perturbation,2019/6/2,16:25:38,Techique reason
perturbation,2019/6/2,5:40:09,Track construction
perturbation,2019/5/31,18:56:37,Technique reason
perturbation,2019/5/28,9:57:36,Technique reason
perturbation,2019/5/22,10:31:38,Passenger reason
perturbation,2019/5/22,9:31:59,Passenger reason
perturbation,2019/5/20,6:34:32,Technique reason
perturbation,2019/5/20,6:20:37,Technique reason
perturbation,2019/5/19,19:07:34,Passenger reason
perturbation,2019/5/19,12:56:32,Passenger reason
perturbation,2019/5/17,18:22:50,Techique reason
perturbation,2019/5/17,16:40:41,Techique reason
perturbation,2019/5/16,5:38:15,Track construction
perturbation,2019/5/14,18:33:44,Passenger reason
perturbation,2019/5/14,18:19:53,Passenger reason
perturbation,2019/5/14,8:19:44,Passenger reason
